gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000164946.19,FREM1,2.806820670451579,0.12215713258981008,0.005003308649502733,0.05353014989128887,0.025519193445097132,0.04816520589707913,NA,46,56,56,0.0024309999976968107,0.16868170145787909
ENSG00000144218.18,AFF3,-2.7902007642017614,-0.18987807123492917,0.005267536706406823,0.01975577902888533,0.1763540400182889,6.196016282940913e-08,NA,44,46,46,0.0006595997910974823,0.09787806919578593
ENSG00000260810.1,CTD-2547L24.4,2.789895865119622,0.25879633736407376,0.005272499678224914,0.008906946927281134,0.034479987159584766,0.025175066254301062,NA,20,21,21,0.012950002989538615,0.0937585383339028
ENSG00000164941.13,INTS8,-2.7882917650016754,-0.16011019495345313,0.005298679931209455,0.032781571806277915,0.2648836971882215,1.0214226603809464e-11,NA,9,9,9,0.0046530015710122795,0.12139164646560265
ENSG00000272143.1,FGF14-AS2,2.7880599500763523,0.2070408047427862,0.005302473038974534,0.017713451962497177,0.2068109860331038,2.5477907990326493e-09,NA,38,38,38,0.00013199998469613515,0.0868565287166018
ENSG00000023228.13,NDUFS1,2.7848931539094055,0.3516612443720823,0.005354536395384375,0.006124797755909498,0.19159188790349,1.021053711534069e-08,NA,28,28,28,0.0016940000957533256,0.02290481813914231
ENSG00000183172.8,SMDT1,-2.782479821305892,-0.10266703142499121,0.005394521977770551,0.05997834919128254,0.6234110774497456,4.784722620981176e-38,NA,40,42,42,0.009512999371084522,0.06437655670682302
ENSG00000096654.15,ZNF184,-2.781923440076313,-0.2348753569338792,0.005403778602678066,0.014586898147632414,0.11931164131076633,1.1500512650228395e-05,NA,60,62,62,0.00016559997351020897,0.12700732401181078
ENSG00000178226.10,PRSS36,2.775656276817825,0.09783192751568269,0.005509041626784069,0.07915037525299692,0.2151050715714645,1.7836087398916612e-09,NA,11,17,17,0.005615000336899348,0.15528801205984682
ENSG00000196502.11,SULT1A1,-2.773462526946277,-0.10446578923926143,0.005546322771001129,0.06523479882534897,0.14871324392985671,1.1455014289343368e-06,NA,53,61,61,0.03335999923127196,0.06517999884243983
