label	weighted_avg
1	6.890148733047458
2	6.87618808660348
3	7.0838577562176726
4	7.285867519030315
5	7.0301786106966215
6	7.0151738052219175
7	6.997632441856821
8	6.982774871685879
9	6.98296168976506
10	7.226646523660326
11	7.149605132975635
12	7.353046418243057
13	7.012040173577472
14	7.00044315734667
15	7.054695836850726
16	7.020957600227864
17	7.011456656379453
18	6.975368602965955
19	7.0094068181364335
20	7.587733890869166
21	7.034071046136638
22	6.89797107420025
23	6.9710903762159635
24	7.018404725291507
25	6.941825081105278
26	7.074032061771542
27	6.984527845164404
28	7.052168684246223
29	6.992040611567316
30	6.914146669810536
31	7.469245494865987
32	6.6435414875692445
33	7.182008823265633
34	7.151890646209396
35	7.269490697603824
36	5.7130426777645456
37	6.253447326784646
38	6.502549349119718
39	6.981601230331663
40	7.367218923075899
41	7.571217211174376
42	6.929113796629542
43	6.84529933024723
44	7.099302945649733
45	7.344442253304683
46	7.054207568064211
47	7.028574020158351
48	7.002791541137844
49	6.979955347158821
50	6.949372064920162
51	7.226578455186494
52	7.140300128830189
53	7.353399740846914
54	7.0007863762554985
55	6.990635394343831
56	7.055334259055564
57	7.011761988864933
58	6.991939656826222
59	7.0072183714062435
60	7.030884468140159
61	7.444636406639061
62	7.040120574635396
63	6.916767184829566
64	6.957095008440751
65	7.021024702909406
66	6.955035573344188
67	7.067355063955765
68	6.9806013542177405
69	7.044022510808424
70	6.989606934351912
71	6.916041187764527
72	7.642425360025989
73	6.636630075104162
74	7.190724370839155
75	7.152849598691206
76	7.285293179911646
77	5.880590829583984
78	6.20618942931406
79	6.504253808162667
80	6.805114852623185
81	7.339324549950196
82	7.562685679863706
83	7.397376623026929
