gene_name	z_mean	pvalue	upregulated
KCNG1	5.134983648919598	2.8216855521173816e-7	UP
UCN	5.050512390445699	4.406265276731804e-7	UP
MYH7B	2.2525334313814422	3.808025912605447e-6	UP
ASB16	4.6519482580860405	4.411344829446273e-6	UP
GLYCTK	3.961429613225416	3.087834834275348e-5	UP
PPP1R13B	1.4315431657543554	4.2322813242410126e-5	UP
