gene_name	z_mean	pvalue	upregulated
HLA-DMA	0.4196063002484789	0.00103203947281927	UP
STARD9	3.1869279726631863	0.00143792578695844	UP
SGCB	1.2847069969503215	0.00162315271496145	UP
VARS2	1.161343117442156	0.00238795084823985	UP
LY6D	2.163375372784818	0.00405418100880621	UP
NHLRC4	2.189861205684054	0.0044163309730119	UP
