label	weighted_avg
1	17.335250043132003
2	17.63505265960253
3	18.237066749610058
4	18.9676109214196
5	16.65658166949211
6	16.98777249441583
7	17.59619550636951
8	16.895252803122283
9	17.788389736881665
10	18.163906021783458
11	17.30712570454996
12	18.843451812050684
13	17.61007092045037
14	17.103103717058033
15	16.260248856714192
16	18.112624542724504
17	18.25328741667801
18	17.099421517710763
19	17.86884749854196
20	19.13933721633648
21	18.6131571437513
22	17.475716464650105
23	18.419531446598985
24	18.109957759446015
25	18.006863136827885
26	17.827518484392208
27	18.117890252100576
28	17.812710123615226
29	17.230709266518026
30	17.6622116247227
31	17.57323714510856
32	17.24419733968232
33	18.118916830124533
34	17.17160796148971
35	15.970788610148304
36	18.413023742571404
37	17.134395464814656
38	18.279336193096317
39	17.88238703017177
40	15.301324530429461
41	15.093759547584066
42	17.583734976252657
43	17.67393938414958
44	18.35211308649495
45	19.050716245104816
46	16.652511275110054
47	17.057565543275366
48	17.544400859763183
49	16.788964453320524
50	17.47312262602777
51	18.45289805271464
52	17.297489769957405
53	18.83019946345819
54	17.658630828599804
55	17.16843078711862
56	16.073245774875335
57	18.044141128852605
58	17.86419131038298
59	17.42117174797731
60	18.045201725325843
61	18.66917548415522
62	18.60421585553658
63	17.502633356897682
64	18.431222206029634
65	18.142661281015926
66	18.20219986579841
67	17.81290987688592
68	18.128649770359406
69	17.782319165048204
70	17.232507848351904
71	17.61951377257345
72	18.362852712051545
73	17.37628968115837
74	18.123788591505473
75	17.22779719852832
76	16.093241056529145
77	18.437935851146676
78	17.10525648957001
79	18.560796192599064
80	17.65874987905578
81	15.280075275662972
82	15.305066880408654
83	16.803312097637825
