gene_name	z_mean	pvalue	upregulated
TIE1	5.079736811372541	1.0184294784889348e-7	UP
ARTN	4.871415978445411	2.4391377614665205e-6	UP
PIDD1	4.176618775188916	4.194894653449177e-6	UP
SZT2	2.0573712520406695	1.087438218999571e-5	UP
ZMYND10	4.210146058824204	2.5520564610358107e-5	UP
MROH8	2.738905761563219	3.5968878625154226e-5	UP
