label	weighted_avg
1	8.278387840656652
2	8.035271907312357
3	8.2065171354875
4	8.595847251718162
5	7.913279195493692
6	8.305522153132703
7	8.399571692225008
8	8.2653762513682
9	8.252071027365856
10	8.571238161630893
11	8.315299997779574
12	8.612828818411023
13	8.360225881634879
14	8.26122329780492
15	8.209350933967546
16	8.160134142133954
17	8.227518334556182
18	8.245900171684116
19	8.291487678944529
20	8.776471784458709
21	8.361450661538354
22	8.20823804509298
23	8.146588107323941
24	8.431711599103226
25	8.328961013838358
26	8.264324553788425
27	8.22131626248186
28	8.38109234646441
29	8.355936398490579
30	8.32904173189638
31	8.087349243011758
32	8.059828312339013
33	8.483906930350424
34	8.337109013565005
35	7.177863370190466
36	7.347057752681614
37	7.409222893758075
38	7.2762507238844805
39	7.821261913382943
40	8.062490703392816
41	8.166098680483318
42	8.21417374619716
43	8.031034708002066
44	8.196703591725411
45	8.604745430157257
46	7.8973063317969645
47	8.313375241421914
48	8.391577274240943
49	8.263916984929912
50	8.24307699840272
51	8.59999137680512
52	8.311728365495537
53	8.605671721457169
54	8.369234688638887
55	8.26800017419655
56	8.219327043354735
57	8.1563553818345
58	8.27354267807501
59	8.254498426991107
60	8.29508267979646
61	8.78892769289662
62	8.351112569630455
63	8.22811348014793
64	8.141020664985358
65	8.433512883556375
66	8.090327054132178
67	8.268890231905521
68	8.228572899012333
69	8.381721224780955
70	8.36522529895145
71	8.33045947926564
72	7.706435434022472
73	8.06294057156904
74	8.477519405186968
75	8.311885626398645
76	7.160940616242107
77	7.362785136770236
78	7.416052252166597
79	7.288068092387818
80	7.695960850268238
81	8.070879537676825
82	8.176823099747102
83	7.616067485771419
