gene_name	z_mean	pvalue	upregulated
NEGR1	5.604104353953254	1.8380838273781618e-15	UP
LRFN5	3.963583769232253	5.399581977411881e-9	UP
EHMT2	1.0495119894698703	3.730541826648067e-8	UP
DENND1B	5.4168391389678225	6.066187073818209e-8	UP
SLC12A5	4.319605515952519	7.503165934335955e-8	UP
HLA-B	2.07955421374649	1.2491097332044586e-7	UP
