gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000091140.13,DLD,-2.5507326401277135,-0.2979358085688762,0.010749675419847761,0.007664698249130841,0.1354934705291674,5.1004756919224635e-06,NA,13,13,13,0.009650997763351331,0.05445899849606605
ENSG00000010818.9,HIVEP2,-2.5375961012775066,-0.3383770455002691,0.01116167184686776,0.005761779021768834,0.029911670583804967,0.037592871817870716,NA,44,46,46,5.644004393625179e-05,0.06835839712879542
ENSG00000230587.1,AC093609.1,2.536933105296784,0.20429616239151044,0.011182832042266862,0.01467355735207721,0.0302967834810352,0.034687417958495115,NA,18,18,18,0.01784999999567604,0.10596154169258326
ENSG00000067221.13,STOML1,2.5359743354172215,0.30434149025675944,0.01121349517991468,0.0070078030448753985,0.17658849471518168,1.2117140747513288e-07,NA,15,15,15,0.02228000484089114,0.09268635127179783
ENSG00000105258.8,POLR2I,-2.532564992266231,-0.468796028970164,0.011323137653967684,0.0025459940738309424,0.0510392639746135,0.006128677749249074,NA,13,13,13,0.011030002725992333,0.0522826488124505
ENSG00000273079.5,GRIN2B,-2.532554583182713,-0.6124353282914444,0.011323473856323232,0.0016561922300251297,0.042449040375645584,0.010480273713513462,NA,59,63,63,0.014650001434652553,0.02510728877634041
ENSG00000107281.9,NPDC1,-2.5324173758520483,-0.4282907096631827,0.011327906336016994,0.0035338597399477856,0.04523447513274002,0.010836149494396022,NA,13,13,13,0.048989997288538235,0.03150835876879165
ENSG00000119913.4,TECTB,-2.529077320153473,-0.09351342625687083,0.011436283006832314,0.07690452211359253,0.3128663381031255,9.156836559797804e-14,NA,42,48,48,0.00227200038684558,0.10480249653748036
ENSG00000124613.8,ZNF391,-2.520107936879105,-0.13571920024975748,0.011731885282726597,0.03611830501558691,0.2623133242326801,1.843836279718713e-11,NA,60,62,62,0.0028069990320918224,0.05872110086872572
ENSG00000007001.12,UPP2,2.519920053335962,0.2664702458299923,0.011738149137079589,0.008864079168662435,0.028274080150074245,0.04128243871841076,NA,23,25,25,0.010699998333062254,0.07726465902882536
ENSG00000130332.14,LSM7,2.5196461763144025,0.6383966481230324,0.011747285244131205,0.001632383975253121,0.040284193336052515,0.014831169682824281,NA,6,6,6,0.02966000560012783,0.02255246794239517
ENSG00000109654.14,TRIM2,2.519237019285676,0.4495253866991628,0.011760945829663638,0.003169307009462834,0.06819760909379233,0.001586266983831596,NA,18,18,18,0.018380005271413008,0.026428716176261986
ENSG00000172803.17,SNX32,2.509929844788557,0.24172663646338166,0.012075514932457489,0.00935090800466385,0.19325912059546516,4.8577506042347465e-09,NA,17,17,17,0.006237997966430964,0.06900371387687906
ENSG00000187815.9,ZFP69,2.503562446105742,0.17453563213733314,0.01229499814509649,0.023273891803491993,0.10543083839853758,8.180766486860852e-05,NA,13,13,13,0.002758000996763479,0.14968892017904853
ENSG00000249740.2,OSMR-AS1,-2.499558493298321,-0.2138833866700875,0.012434816920365284,0.011812888375915327,0.05450036871379371,0.005171496863316989,NA,12,12,12,0.0007138000711109137,0.15872100089876348
ENSG00000170260.8,ZNF212,-2.498670581008871,-0.18252788185716948,0.012466013081594963,0.01736774912510418,0.03572941116169477,0.02199975357826342,NA,44,53,53,0.0042799989225006255,0.07333655929044605
ENSG00000260448.5,LCMT1-AS1,-2.491343743768278,-0.2272429560379588,0.01272609305783664,0.010051566275289556,0.04058201606736785,0.016466740230139186,NA,31,31,31,0.00031059989146403405,0.043851545753891205
ENSG00000205464.11,ATP6AP1L,-2.4772821102838667,-0.08049869952963368,0.013238721467030357,0.08178915791867164,0.5028410893198169,3.5218985009721555e-25,NA,35,36,36,0.0005995998204513511,0.03281216933539765
ENSG00000064419.13,TNPO3,-2.476761890378692,-0.1796058956109149,0.013258031819064734,0.017049354888735484,0.07501417223562458,0.0008598244861221496,NA,26,26,26,0.0018810003600462453,0.04858180808759821
ENSG00000165406.15,MARCH8,-2.465763914116424,-0.3255130951203362,0.013672141462825207,0.007406453480737103,0.10475284592354406,6.32838778306933e-05,NA,20,22,22,0.0008283997429279268,0.10226390275319673
ENSG00000186446.11,ZNF501,2.465657463923454,0.21343714666856445,0.013676204867665976,0.01422970119317498,0.11533715615538916,2.8951141041674407e-05,NA,9,9,9,0.022360006422867017,0.12544584523348326
ENSG00000184840.11,TMED9,-2.4581201777987416,-0.40552223023332723,0.013966642775095873,0.003207306805299258,0.11749987413527688,2.263870931197872e-05,NA,10,10,10,0.011430000484067383,0.02790507301601082
ENSG00000130312.6,MRPL34,2.453434706017257,0.17074166836445345,0.014149922532987457,0.02100300021737235,0.22650417561486616,3.1863917852292474e-10,NA,20,30,30,0.017409999035177384,0.04860736008233031
ENSG00000186153.16,WWOX,-2.452410208006259,-0.15714418191927368,0.01419027903826369,0.02470148945114783,0.25171530253437224,9.723409694236077e-11,NA,47,48,48,0.0002132999146624304,0.05236409406616984
ENSG00000180398.11,MCFD2,2.4462841782241065,0.13390160100045861,0.014433718374111238,0.035265649386759496,0.3440520230314736,1.8031453667122732e-15,NA,24,24,24,0.016370000534724767,0.1642261243989173
ENSG00000272505.1,RP11-981G7.6,-2.4445939966358443,-0.13928660917533436,0.01450152868936769,0.031251746494237564,0.1469256959612537,2.171905875680669e-06,NA,46,49,49,2.5890022661949768e-05,0.17875239121075442
ENSG00000134744.13,ZCCHC11,2.436387808820375,0.21726758071123425,0.014834770501978164,0.017262953346502994,0.13654918866914684,8.461768341673543e-08,NA,66,66,66,0.0014020004318560104,0.07603001478673566
ENSG00000164048.13,ZNF589,-2.4312699070293737,-0.09929203544383243,0.015046001517214637,0.055607608013905074,0.2401627678829621,5.612924761649065e-11,NA,10,10,10,0.009495998167014187,0.05707154503189881
