label	weighted_avg
1	4.134512986629378
2	5.175227181303603
3	4.322501710450697
4	3.7255901145651893
5	5.53639912598376
6	4.612619976243043
7	4.0181905044763795
8	4.442917756807206
9	4.046308030369236
10	3.8320718210078417
11	4.513919075741757
12	3.6644952354408695
13	4.650301403016172
14	4.545391678183909
15	4.86414418247859
16	4.231489441316981
17	4.0974317637576005
18	4.2793527402406655
19	4.188082905506409
20	3.6172879026095086
21	3.8553981979123693
22	4.434330812861793
23	4.1511226366440725
24	3.959547950228356
25	4.848338074453681
26	4.279393543080458
27	4.305948573460376
28	4.00205522290737
29	4.662499777289927
30	4.166945348080344
31	4.6957263413367
32	5.41372034113273
33	4.060094690430109
34	4.770407863780205
35	4.735864980962952
36	5.556915761584669
37	5.342557286064182
38	5.1117738120880745
39	3.795683466395576
40	4.6571188656282745
41	4.805490396976297
42	4.131493186595261
43	5.177017681661459
44	4.299164664807942
45	3.656644346911274
46	5.527464933823654
47	4.642467498558884
48	4.050210793966026
49	4.458002751166707
50	4.117227004471536
51	3.818035103355528
52	4.531922709726774
53	3.657938145064958
54	4.723830649372318
55	4.520222313604488
56	4.773956917114287
57	4.21126649812017
58	4.120818111675516
59	4.235516628931901
60	4.148477439120546
61	3.6477460521708953
62	3.8621822444073968
63	4.467392919914587
64	4.148201694609627
65	3.9513330868586127
66	4.853608118087983
67	4.281896607470922
68	4.304495255735912
69	4.02266167245884
70	4.65019802893476
71	4.165358860426479
72	4.749329375108951
73	5.379725889701851
74	4.09135380072385
75	4.755760160160538
76	4.7145290247897895
77	5.355259975653425
78	5.287558037045925
79	5.117262430024402
80	3.998389636995936
81	4.675515235853208
82	4.997938567147145
83	4.568106659977268
